model,modelLabel,startProduction,predecessorLabel,successorLabel,height,width,length,mass,website,image
http://www.wikidata.org/entity/Q391845,Škoda 1200,,Škoda 1101/1102,Škoda 1201,1680,1520,,1060,,http://commons.wikimedia.org/wiki/Special:FilePath/1955%20Skoda%201200%20%282568618690%29.jpg
http://www.wikidata.org/entity/Q391847,Škoda 1202,,Škoda 1201,Škoda 1203,1580,1700,4485,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brno%2C%20Mahenova%2C%20%C5%A0koda%201202%20%2802%29.jpg
http://www.wikidata.org/entity/Q391853,Škoda 1203,,Škoda 1202,,1900,1800,4520,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda1203Brumov-BylniceAlofok%20%281%29.jpg
http://www.wikidata.org/entity/Q12032779,Škoda 125,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sodomkovo%20M%C3%BDto%202011%20-%2021.JPG
http://www.wikidata.org/entity/Q8082807,Škoda 130,,,Škoda Favorit,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda130estelle.JPG
http://www.wikidata.org/entity/Q391896,Škoda 440,,Škoda 1101/1102,Škoda Octavia,1430,1600,4065,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20440%20red%20vr%20TCE.jpg
http://www.wikidata.org/entity/Q10404225,Škoda 606,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/N%C3%A1kladn%C3%AD%20automobil%20zn.%20%C5%A0koda%201930%20%28Pivovar%20Vy%C5%A1kov-%20czech%20republic%29.jpg
http://www.wikidata.org/entity/Q391919,Škoda 706,,Škoda 706 R,Category:Škoda trucks,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/LIAZ0505.jpg
http://www.wikidata.org/entity/Q10404425,Škoda 720,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SkodaPrototyp720OP1%20%281%29.JPG
http://www.wikidata.org/entity/Q117390,Škoda 760,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SkodaPrototyp760%20%281%29.JPG
http://www.wikidata.org/entity/Q391963,Škoda Citigo,,Volkswagen Lupo,,1478,1641,3563,,https://www.skoda-auto.com/models/range/citigoe-iv,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Citigo-e%20iV%201X7A7291.jpg
http://www.wikidata.org/entity/Q30753091,Škoda Enyaq iV,,,,1616,2148,4655,,https://www.skoda-auto.com/models/range/enyaq-iv,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Enyaq%20IMG%201190.jpg
http://www.wikidata.org/entity/Q125365975,Škoda Epiq,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Epiq%20Showcar%20IAA%202025%20DSC%201378%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q163053,Škoda Fabia,,Škoda Felicia,,,,3970,,https://www.skoda-auto.com/models/range/fabia,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Skoda%20Fabia%20SE%20MPi%201.0.jpg
http://www.wikidata.org/entity/Q391966,Škoda Fabia I,,Škoda Felicia,Škoda Fabia II,,1646,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Fabia%20Yellow.jpg
http://www.wikidata.org/entity/Q391971,Škoda Fabia II,,Škoda Fabia I,Škoda Fabia III,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Fabia%20II%2020090426%20front.JPG
http://www.wikidata.org/entity/Q18410434,Škoda Fabia III,,Škoda Fabia II,,,1732,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Skoda%20Fabia%20facelift%201.0%20Front.jpg
http://www.wikidata.org/entity/Q2068865,Škoda Fabia WRC,,Škoda Octavia WRC,Škoda Fabia S2000,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Armin%20Schwarz%20-%202005%20Rally%20Finland.jpg
http://www.wikidata.org/entity/Q391996,Škoda Favorit,,Škoda 105/120/125,Škoda Felicia,1415,1620,3815,840,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Favorit%20Utrecht%201989.jpg
http://www.wikidata.org/entity/Q392016,Škoda Felicia,,Škoda Favorit,Škoda Fabia,1415,1635,3855,,,http://commons.wikimedia.org/wiki/Special:FilePath/SkodaFelicia1.jpg
http://www.wikidata.org/entity/Q52054487,Škoda Kamiq,,Škoda Yeti,,1593,1781,4390,1277,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Kamiq%20Genf%202019%201Y7A5528.jpg
http://www.wikidata.org/entity/Q65246931,Škoda Kamiq (Китай),,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20SAIC-%C5%A0koda%20Kamiq.jpg
http://www.wikidata.org/entity/Q29584097,Škoda Karoq,,Škoda Yeti,,1603,1841,4382,1318,https://www.skoda-auto.com/models/range/karoq,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Skoda%20Karoq%20Edition%20TDi%20SCR%204X4%202.0%20Front.jpg
http://www.wikidata.org/entity/Q11832265,Škoda Kodiaq,,,,1676,1882,4697,,http://www.skoda.fr/gamme/kodiaq/presentation,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Skoda%20Kodiaq%20Edition%20TDi.jpg
http://www.wikidata.org/entity/Q105044283,Škoda Kushaq,,,,1612,1760,4221,,https://www.skoda-auto.co.in/models/kushaq,http://commons.wikimedia.org/wiki/Special:FilePath/4th%20International%20Auto%20Show%2C%20Bangalore%20%282025%29%2082.jpg
http://www.wikidata.org/entity/Q130223132,Škoda Kylaq,,,,1619,1783,3995,,https://www.skoda-auto.com/models/range/kylaq,http://commons.wikimedia.org/wiki/Special:FilePath/4th%20International%20Auto%20Show%2C%20Bangalore%20%282025%29%2081.jpg
http://www.wikidata.org/entity/Q223696,Škoda Octavia,,,,,1829,,,http://www.skoda-auto.cz/modely/octavia,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Octavia%20IV%20Combi%20IMG%202617.jpg
http://www.wikidata.org/entity/Q2439814,Škoda Octavia,,Škoda 440,Škoda 1000 MB,,,4065,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Octavia%20%281959%29%20at%20IAA%202019%20IMG%200271.jpg
http://www.wikidata.org/entity/Q392017,Škoda Octavia I,,,Škoda Octavia II,,1731,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Octavia%20I%20front%2020080213.jpg
http://www.wikidata.org/entity/Q392018,Škoda Octavia II,,Škoda Octavia I,Škoda Octavia III,,1769,4572,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Octavia%20TDI%20%28II%2C%20Facelift%29%20%E2%80%93%20Frontansicht%2C%201.%20April%202011%2C%20W%C3%BClfrath.jpg
http://www.wikidata.org/entity/Q1609671,Škoda Octavia III,,Škoda Octavia II,,,1814,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Skoda%20Octavia%20SE%20TDi%20S-A%201.6%20Front.jpg
http://www.wikidata.org/entity/Q75030046,Škoda Octavia IV,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Octavia%20IV%20Combi%20IMG%202617.jpg
http://www.wikidata.org/entity/Q2673846,Škoda Octavia WRC,,,Škoda Fabia WRC,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SkodaOctaviaWRCMBbyAlofok%20%281%29.JPG
http://www.wikidata.org/entity/Q392024,Škoda Pick-up,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brno%2C%20Barvi%C4%8Dova%2C%20%C5%A0koda%20Pickup.jpg
http://www.wikidata.org/entity/Q392026,Škoda Popular,,Škoda 420,Škoda 1101/1102,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/13-04-05-Skoda%20Museum%20Mlad%C3%A1%20Boleslav%20by%20RalfR-095.jpg
http://www.wikidata.org/entity/Q2116818,Škoda Praktik,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Praktik%20Eesti%20Energia%20duty%20vehicle.jpg
http://www.wikidata.org/entity/Q9396978,Škoda RSO,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Rad%20Schlepper%201944%20%2812169501973%29.jpg
http://www.wikidata.org/entity/Q180270,Škoda Rapid,,,Škoda Scala,1459,1706,4304,,,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20Skoda%20Rapid%20SE%20Connect%20TSi%201.2%20Front.jpg
http://www.wikidata.org/entity/Q180270,Škoda Rapid,,,Škoda Scala,1461,1706,4304,,,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20Skoda%20Rapid%20SE%20Connect%20TSi%201.2%20Front.jpg
http://www.wikidata.org/entity/Q180270,Škoda Rapid,,,Škoda Scala,1459,1706,4483,,,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20Skoda%20Rapid%20SE%20Connect%20TSi%201.2%20Front.jpg
http://www.wikidata.org/entity/Q180270,Škoda Rapid,,,Škoda Scala,1461,1706,4483,,,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20Skoda%20Rapid%20SE%20Connect%20TSi%201.2%20Front.jpg
http://www.wikidata.org/entity/Q346196,Škoda Rapid,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20130%20Rapid.jpg
http://www.wikidata.org/entity/Q392029,Škoda Rapid (1935–47),,Škoda 420,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Skoda%20Rapid%202.jpg
http://www.wikidata.org/entity/Q392038,Škoda Rapid (1984),,Škoda Garde,,1380,1610,4170,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Rapid%2C%20Pfingsttreffen%20Puetnitz%202018%2C%20Ribnitz-Damgarten%20%281X7A2426%29.jpg
http://www.wikidata.org/entity/Q392036,Škoda Rapid (2011),,,Škoda Slavia,1466,1699,4386,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Rapid.jpg
http://www.wikidata.org/entity/Q392071,Škoda Roomster,,Škoda Pick-up,,,1684,4205,,,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20Skoda%20Roomster%20SE%20TDi%20CR%201.6%20Front.jpg
http://www.wikidata.org/entity/Q57340128,Škoda Scala,,Škoda Rapid,,1471,1793,4362,,https://www.skoda-auto.com/models/range/scala,http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Skoda%20Scala%20SE%20TDi%201.6%20Front.jpg
http://www.wikidata.org/entity/Q109315466,Škoda Slavia,,Škoda Rapid (2011),,1487,1752,4541,,https://www.skoda-auto.co.in/models/slavia/slavia,http://commons.wikimedia.org/wiki/Special:FilePath/2021%20%C5%A0koda%20Slavia%201.5%20TSI%20Style%20%28India%29%20front%20view.png
http://www.wikidata.org/entity/Q392060,Škoda Superb,,,Škoda VOS,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SkodaSuperB.jpg
http://www.wikidata.org/entity/Q392083,Škoda Superb,,,,,1765,,,https://www.skoda-auto.com/models/range/superb,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Superb%20IV%20Combi%20Automesse%20Ludwigsburg%202024%20IMG%201400.jpg
http://www.wikidata.org/entity/Q392080,Škoda VOS,,Škoda Superb,,1750,1950,5700,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda-vos-l.jpg
http://www.wikidata.org/entity/Q113534255,Škoda Vision 7S,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Vision%207S.png
http://www.wikidata.org/entity/Q392105,Škoda Yeti,,,Škoda Karoq,,1793,4223,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Yeti%20%E2%80%93%20Frontansicht%2C%2014.%20Juni%202011%2C%20Mettmann.jpg
http://www.wikidata.org/entity/Q9396971,Q9396971,1938-01-01T00:00:00Z,,,,,,,,
http://www.wikidata.org/entity/Q9396970,Q9396970,1939-01-01T00:00:00Z,,,,,,,,
http://www.wikidata.org/entity/Q10403750,Škoda 21Ab,1995-01-01T00:00:00Z,,,2823,2500,11560,9600,,http://commons.wikimedia.org/wiki/Special:FilePath/Brno%2C%20%C5%98e%C4%8Dkovice%2C%20depozit%C3%A1%C5%99%20TMB%2C%20%C5%A0koda%2021Ab%20%C4%8D.%20362%20%2801%29.jpg
http://www.wikidata.org/entity/Q10404678,Škoda H12,2012-01-01T00:00:00Z,,,3250,2550,12000,,,http://commons.wikimedia.org/wiki/Special:FilePath/Solaris%20Urbino%20%C5%A0koda%20Hybridbus.jpg
