model,modelLabel,startProduction,predecessorLabel,successorLabel,height,width,length,mass,website,image
http://www.wikidata.org/entity/Q9396957,Škoda 1101 Taub,,,,,,,,,
http://www.wikidata.org/entity/Q391837,Škoda 1101/1102,,Škoda Popular,Škoda 1200,1520,1500,4050,940,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%201101%20tudor.JPG
http://www.wikidata.org/entity/Q9396959,Škoda 1102,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1951%20SKODA%201102%2C%20NG-70-77%2C%20Horn%2C%20the%20Netherlands%2C%20pic6.JPG
http://www.wikidata.org/entity/Q137771826,Škoda 120,,,Škoda Favorit,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20%287909327772%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q90884029,Škoda 120 GLS,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20%287909347996%29.jpg
http://www.wikidata.org/entity/Q9396961,Škoda 120 S,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda120s.jpg
http://www.wikidata.org/entity/Q391849,Škoda 1201,,Škoda 1200,Škoda 1202,1520,1680,4500,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%201201%20Stationsvagn%201959.jpg
http://www.wikidata.org/entity/Q90884099,Škoda 1202 Kamyonet,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%201202%20with%20Pick%20up%20body%20built%20in%20Turkey%20by%20Celik%20Motor.%20%2816324740590%29%20-%20cropped.jpg
http://www.wikidata.org/entity/Q90884067,Škoda 125,,,Škoda Favorit,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20125%20L%20%2846510243835%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q98526234,Škoda 130 L/A,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2015%20Rally%20Bohemia%20Historic%20-%20Jun.jpg
http://www.wikidata.org/entity/Q98526141,Škoda 130 LR,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/13-04-05-Skoda%20Museum%20Mlad%C3%A1%20Boleslav%20by%20RalfR-021.jpg
http://www.wikidata.org/entity/Q9396960,Škoda 130 RS,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/130RS.JPG
http://www.wikidata.org/entity/Q137771820,Škoda 135,,,Škoda Favorit,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20%287907616216%29.jpg
http://www.wikidata.org/entity/Q90882074,Škoda 136,,,Škoda Favorit,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20136L%20%C5%A1ed%C3%A1%20%28cropped%29.JPG
http://www.wikidata.org/entity/Q391867,Škoda 150,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Praga%20A150%20light%20truck%20crop.JPG
http://www.wikidata.org/entity/Q9396965,Škoda 154,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1930%20Skoda%20154%20fire%20engine%20pic1.JPG
http://www.wikidata.org/entity/Q90883423,Škoda 160 RS MTX,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20160%20RS%20MTX%20Rally%20Legend%202014.jpg
http://www.wikidata.org/entity/Q10403699,Škoda 200 RS,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda-museum-mlada-boleslav-rr-088.jpg
http://www.wikidata.org/entity/Q10403726,Škoda 206,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20206%20-%20all-metal%20body%2C%20hydraulical%20dump%20%28Auto%20magazine%2C%201931%29.png
http://www.wikidata.org/entity/Q10403816,Škoda 254,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20254%20D%20%281938%29.jpg
http://www.wikidata.org/entity/Q10403838,Škoda 256,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20256%20G%20in%20the%20Po%C5%99e%C5%BEany%20museum.jpg
